STORE_ID,STORE_LOCATION,PRODUCT_CATEGORY,PRODUCT_ID,MRP,CP,DISCOUNT,SP,Date
YR7220,Bangalore,Decor,12254943,31.0,20.77,1.86,29.14,2024-10-26
YR7220,Bangalore,Painting,72619323,15.0,9.75,1.5,13.5,2024-10-26
YR7220,Bangalore,Decor,34161682,88.0,62.48,4.4,83.6,2024-10-26
YR7220,Bangalore,Perfume,79411621,91.0,58.24,3.64,87.36,2024-10-26
YR7220,Bangalore,Candle,39520263,85.0,51.0,2.55,82.45,2024-10-26
YR7220,Bangalore,Perfume,93809204,37.0,24.05,0.74,36.26,2024-10-26
YR7220,Bangalore,Cosmetics,86610412,80.0,48.8,6.4,73.6,2024-10-26
YR7220,Bangalore,Perfume,52503356,71.0,42.6,5.68,65.32,2024-10-26
YR7220,Bangalore,Perfume,77516479,92.0,56.12,3.68,88.32,2024-10-26
YR7220,Bangalore,Cosmetics,47334289,16.0,10.72,0.96,15.04,2024-10-26
YR7220,Bangalore,Cosmetics,87566223,38.0,23.18,2.66,35.34,2024-10-26
YR7220,Bangalore,Decor,54074401,26.0,17.68,0.52,25.48,2024-10-26
YR7220,Bangalore,Candle,24246520,45.0,30.15,1.35,43.65,2024-10-26
YR7220,Bangalore,Cosmetics,61138610,83.0,57.27,1.66,81.34,2024-10-26
YR7220,Bangalore,Perfume,69018554,55.0,37.4,1.65,53.35,2024-10-26
YR7220,Bangalore,Artifact,11950073,13.0,7.93,0.39,12.61,2024-10-26
YR7220,Bangalore,Candle,86404418,69.0,48.3,4.83,64.17,2024-10-26
YR7220,Bangalore,Candle,91763000,18.0,11.7,0.36,17.64,2024-10-26
YR7220,Bangalore,Artifact,53648681,52.0,36.92,1.04,50.96,2024-10-26
YR7220,Bangalore,Artifact,15652465,29.0,18.85,2.03,26.97,2024-10-26
YR7220,Bangalore,Decor,40901794,43.0,31.39,3.87,39.13,2024-10-26
YR7220,Bangalore,Decor,37012634,71.0,46.15,4.97,66.03,2024-10-26
YR7220,Bangalore,Artifact,43219909,69.0,51.75,2.07,66.93,2024-10-26
YR7220,Bangalore,Painting,14965820,13.0,8.71,1.17,11.83,2024-10-26
YR7220,Bangalore,Artifact,86044616,35.0,22.75,1.05,33.95,2024-10-26
YR7220,Bangalore,Painting,47048645,86.0,53.32,1.72,84.28,2024-10-26
YR7220,Bangalore,Jewellery,98928833,41.0,30.34,0.82,40.18,2024-10-26
