STORE_ID,STORE_LOCATION,PRODUCT_CATEGORY,PRODUCT_ID,MRP,CP,DISCOUNT,SP,Date
YR7220,Bangalore(,Decor,12254943,$31,$20.77,$1.86,$29.14,26-10-2024
YR7220,Bangalore+,Painting,72619323C,$15,$9.75,$1.5,$13.5,26-10-2024
YR7220,Bangalore ,Decor,34161682B,$88,$62.48,$4.4,$83.6,26-10-2024
YR7220,Bangalore!,Perfume,79411621,$91,$58.24,$3.64,$87.36,26-10-2024
YR7220,Bangalore,Candle,39520263T,$85,$51,$2.55,$82.45,26-10-2024
YR7220,Bangalore,Perfume,93809204,$37,$24.05,$0.74,$36.26,26-10-2024
YR7220,Bangalore,Cosmetics,86610412D,$80,$48.8,$6.4,$73.6,26-10-2024
YR7220,Bangalore$,Perfume,52503356^,$71,$42.6,$5.68,$65.32,26-10-2024
YR7220,Bangalore,Perfume,77516479,$92,$56.12,$3.68,$88.32,26-10-2024
YR7220,Bangalore!,Cosmetics,47334289,$16,$10.72,$0.96,$15.04,26-10-2024
YR7220,"Bangalore""",Cosmetics,87566223^,$38,$23.18,$2.66,$35.34,26-10-2024
YR7220,Bangalore,Decor,54074401^,$26,$17.68,$0.52,$25.48,26-10-2024
YR7220,Bangalore,Candle,24246520G,$45,$30.15,$1.35,$43.65,26-10-2024
YR7220,Bangalore,Cosmetics,61138610,$83,$57.27,$1.66,$81.34,26-10-2024
YR7220,Bangalore,Perfume,69018554,$55,$37.4,$1.65,$53.35,26-10-2024
YR7220,Bangalore,Artifact,11950073P,$13,$7.93,$0.39,$12.61,26-10-2024
YR7220,Bangalore,Candle,86404418,$69,$48.3,$4.83,$64.17,26-10-2024
YR7220,Bangalore+,Candle,91763000,$18,$11.7,$0.36,$17.64,26-10-2024
YR7220,Bangalore,Artifact,53648681,$52,$36.92,$1.04,$50.96,26-10-2024
YR7220,Bangalore,Artifact,15652465T,$29,$18.85,$2.03,$26.97,26-10-2024
YR7220,Bangalore,Decor,40901794,$43,$31.39,$3.87,$39.13,26-10-2024
YR7220,Bangalore%,Decor,37012634H,$71,$46.15,$4.97,$66.03,26-10-2024
YR7220,Bangalore,Artifact,43219909,$69,$51.75,$2.07,$66.93,26-10-2024
YR7220,Bangalore),Painting,14965820,$13,$8.71,$1.17,$11.83,26-10-2024
YR7220,Bangalore&,Artifact,86044616,$35,$22.75,$1.05,$33.95,26-10-2024
YR7220,Bangalore),Painting,47048645,$86,$53.32,$1.72,$84.28,26-10-2024
YR7220,Bangalore,Jewellery,98928833,$41,$30.34,$0.82,$40.18,26-10-2024
YR7220,Bangalore,Jewellery,73363647`,$96,$72,$9.6,$86.4,26-10-2024
YR7220,Bangalore,Decor,12084655S,$72,$48.24,$6.48,$65.52,26-10-2024
YR7220,Bangalore&,Cosmetics,73234558,$37,$25.16,$2.59,$34.41,26-10-2024
YR7220,Bangalore!,Painting,75547180A,$70,$49.7,$3.5,$66.5,26-10-2024
YR7220,Bangalore ,Jewellery,29300231,$98,$58.8,$8.82,$89.18,26-10-2024
YR7220,"Bangalore""",Decor,65744628,$27,$18.36,$1.35,$25.65,26-10-2024
YR7220,Bangalore,Painting,78142700`,$33,$19.8,$2.97,$30.03,26-10-2024
YR7220,Bangalore,Candle,44843139,$96,$61.44,$7.68,$88.32,26-10-2024
YR7220,Bangalore,Cosmetics,80842590,$32,$23.68,$2.56,$29.44,26-10-2024
YR7220,Bangalore,Artifact,55436706I,$60,$41.4,$1.2,$58.8,26-10-2024
YR4591,Bangalore,Jewellery,20497436,$99,$69.3,$2.97,$96.03,26-10-2024
YR4591,Bangalore,Cosmetics,71614074,$73,$48.18,$4.38,$68.62,26-10-2024
YR4591,Bangalore,Cosmetics,63525390,$97,$71.78,$5.82,$91.18,26-10-2024
YR4591,Bangalore,Cosmetics,54722595U,$51,$33.15,$2.04,$48.96,26-10-2024
YR4591,"Bangalore""",Decor,98110351A,$91,$63.7,$5.46,$85.54,26-10-2024
YR4591,Bangalore,Painting,73992614,$47,$33.37,$1.88,$45.12,26-10-2024
